"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AL354743.1",0,NA,NA,NA,NA,NA
"ARHGEF16",0,NA,NA,NA,NA,NA
"AL512413.1",0,NA,NA,NA,NA,NA
"MEGF6",2.02621085399116,-0.210239831290655,0.234248437177,-0.897507935695621,0.369447940779947,0.999981087338227
"AL513320.1",0.124618248227827,0.220461580104029,0.974834583171141,0.22615280983043,0.821082572064099,NA
"TPRG1L",4.29706662009738,-0.0311915814478716,0.182157173849653,-0.171234438856721,0.864039429092035,0.999981087338227
"WRAP73",5.35254425309709,0.081155504033642,0.146820228738135,0.552754240550795,0.580431706330539,0.999981087338227
"TP73",0.013232885339963,-0.245311124044402,1.49348411249627,-0.164254257539024,0.869530989730175,NA
"AL136528.1",0,NA,NA,NA,NA,NA
"AL136528.2",0,NA,NA,NA,NA,NA
"CCDC27",0,NA,NA,NA,NA,NA
"SMIM1",0.406153090947646,0.350947142134596,0.457174122338937,0.767644372212331,0.442698493116135,0.999981087338227
"LRRC47",6.61241391764252,0.0164128907406759,0.126640707443206,0.129602014013041,0.89688130973651,0.999981087338227
"AL365330.1",0,NA,NA,NA,NA,NA
"CEP104",4.38186034219065,0.0529769175991583,0.145706959815563,0.363585361098858,0.716167659839201,0.999981087338227
"DFFB",0.980708628898193,-0.0109678556621875,0.345104303166224,-0.0317812776066856,0.974646477399453,0.999981087338227
"C1orf174",3.92079548567466,-0.112655646064775,0.197232978291842,-0.571180575583465,0.567877243865033,0.999981087338227
"LINC01134",0.0337820297810031,-0.275446383904291,1.49234636300317,-0.184572690853072,0.853564207425487,NA
"LINC01346",0,NA,NA,NA,NA,NA
"LINC01345",0,NA,NA,NA,NA,NA
"LINC02780",0,NA,NA,NA,NA,NA
"AL805961.1",0,NA,NA,NA,NA,NA
"LINC01777",0,NA,NA,NA,NA,NA
"AL355602.1",0,NA,NA,NA,NA,NA
"Z98747.1",0,NA,NA,NA,NA,NA
"LINC01646",0,NA,NA,NA,NA,NA
"AJAP1",0.0541873807785627,0.0126677953228051,1.49411150430858,0.00847848054597993,0.993235232320532,NA
"Z98886.1",0,NA,NA,NA,NA,NA
"BX005132.1",0,NA,NA,NA,NA,NA
"LINC02781",0,NA,NA,NA,NA,NA
"LINC02782",0,NA,NA,NA,NA,NA
"AL139823.1",0,NA,NA,NA,NA,NA
"Z98259.3",0,NA,NA,NA,NA,NA
"Z98259.2",0,NA,NA,NA,NA,NA
"Z98259.1",0,NA,NA,NA,NA,NA
"AL365255.1",0.217187445479143,-0.522638022049647,1.13155725517533,-0.461875013093054,0.644170953533631,0.999981087338227
"NPHP4",1.67221012824262,-0.326312880224065,0.245852113022574,-1.32727303504649,0.184418380346126,0.999981087338227
"KCNAB2",20.2374095543082,-0.135381087971313,0.0806214540124314,-1.67921913130515,0.0931093447679255,0.999981087338227
"CHD5",0.0895268364712727,-0.270458774414291,1.49275593032024,-0.181180840699303,0.856225632625757,NA
